#source z x y Road Background
data/osm/united_states_of_america.mbtiles 15 9678 12321 0 65536
data/osm/united_states_of_america.mbtiles 15 9676 12325 0 65536
data/osm/united_states_of_america.mbtiles 15 9678 12324 0 65536
data/osm/united_states_of_america.mbtiles 15 9677 12326 0 65536
data/osm/united_states_of_america.mbtiles 15 9677 12327 0 65536
data/osm/united_states_of_america.mbtiles 15 9672 12324 0 65536
data/osm/united_states_of_america.mbtiles 15 9672 12313 0 65536
data/osm/united_states_of_america.mbtiles 15 9675 12312 0 65536
data/osm/united_states_of_america.mbtiles 15 9674 12314 0 65536
data/osm/united_states_of_america.mbtiles 15 9675 12314 0 65536
data/osm/united_states_of_america.mbtiles 15 9678 12316 0 65536
data/osm/united_states_of_america.mbtiles 15 9679 12318 0 65536
data/osm/united_states_of_america.mbtiles 15 9677 12319 0 65536
data/osm/united_states_of_america.mbtiles 15 9674 12318 0 65536
data/osm/united_states_of_america.mbtiles 15 9674 12307 1245 64291
data/osm/united_states_of_america.mbtiles 15 9677 12307 0 65536
data/osm/united_states_of_america.mbtiles 15 9679 12310 0 65536
data/osm/united_states_of_america.mbtiles 15 9676 12311 0 65536
data/osm/united_states_of_america.mbtiles 15 9673 12309 0 65536
data/osm/united_states_of_america.mbtiles 15 9674 12309 3819 61717
data/osm/united_states_of_america.mbtiles 15 9672 12299 0 65536
data/osm/united_states_of_america.mbtiles 15 9678 12297 0 65536
data/osm/united_states_of_america.mbtiles 15 9678 12299 0 65536
data/osm/united_states_of_america.mbtiles 15 9677 12301 0 65536
data/osm/united_states_of_america.mbtiles 15 9678 12300 0 65536
data/osm/united_states_of_america.mbtiles 15 9673 12300 0 65536
data/osm/united_states_of_america.mbtiles 15 9672 12301 712 64824
data/osm/united_states_of_america.mbtiles 15 9675 12300 0 65536
data/osm/united_states_of_america.mbtiles 15 9674 12301 2212 63324
data/osm/united_states_of_america.mbtiles 15 9674 12288 0 65536
data/osm/united_states_of_america.mbtiles 15 9674 12291 1978 63558
data/osm/united_states_of_america.mbtiles 15 9678 12290 11 65525
data/osm/united_states_of_america.mbtiles 15 9679 12291 0 65536
data/osm/united_states_of_america.mbtiles 15 9677 12290 2167 63369
data/osm/united_states_of_america.mbtiles 15 9678 12294 0 65536
data/osm/united_states_of_america.mbtiles 15 9674 12293 44 65492
#source z x y Road Background
data/osm/united_states_of_america.mbtiles 15 9649 12341 0 65536
data/osm/united_states_of_america.mbtiles 15 9650 12340 0 65536
data/osm/united_states_of_america.mbtiles 15 9649 12342 0 65536
